X,Y,GPS_Date,ID,TYPE,LOCATION,NORTH,EAST,SITE_ID,Start_date,End_date
-112.356972687367971,33.706107764442812,2007/10/23,0,,,3730199,374316,O-9,2002/05/08,
-111.80120284485055,33.452022655231062,2007/10/11,0,,,3701489,425601,AA-17,2002/06/23,
-111.7736024109075,33.351621933087067,2007/10/16,0,,,3690338,428083,AB-19,2002/06/10,
-111.719405377249657,33.479623052604651,2007/10/11,0,,,3704493,433224,AC-16,2002/06/18,
-111.7230266460884,33.343071472501713,2007/10/16,0,,,3689356,432783,AC-20,2004/11/08,
-111.711467800823584,33.676812182601765,2007/10/11,0,,,3726351,434112,AD-10,2002/06/18,
-112.139458178183858,33.690745048336041,2007/10/22,0,Desert Remnant,"Adobe Dam Recreation Area, Phoenix 85040",3728251,394454,ADODAM,1998/05/04,
-111.622250905326155,33.610110787603169,2007/10/11,0,,,3718902,442338,AF-12,2002/06/18,
-111.700172246775765,33.350110928321492,2007/10/16,0,,,3690122,434915,ALFPOW,1998/06/03,
-111.942282424740483,33.46372478392658,2007/10/29,0,Desert Remnant,"Desert Botanical Garden, Phoenix 85008",3702896,412501,DBG,1998/04/23,
-112.027386072921544,33.563909538774695,2007/10/22,0,Desert Remnant,,3714079,404702,DREAMY,1999/06/25,
-112.57711821071679,33.440738540179169,2007/11/02,0,,,3701063,353465,I-17,2002/04/29,
-112.45213261725408,33.781062803878378,2007/10/23,0,,,3738630,365614,L-7,2002/04/29,
-112.443900947877452,33.48671252505094,2007/11/02,0,,,3705981,365920,M-16,2004/10/25,
-111.677617865112182,33.312190485195252,2007/10/16,0,,,3685904,436986,NDV-C,2004/02/08,
-111.680832479084955,33.310747776505437,2007/10/16,0,,,3685746,436686,NDV-M,2004/01/05,
-111.680826770754237,33.314183963914218,2007/10/16,0,,,3686127,436689,NDV-N,2004/01/05,
-111.67849792154901,33.311587523316334,2007/10/16,0,,,3685838,436904,NDV-O,2004/01/05,
-111.680904485972931,33.312301622947764,2007/10/16,0,,,3685918,436680,NDV-X,2004/01/05,
-112.289796041250142,33.411594809025672,2007/11/02,0,,,3697463,380135,P-18,2002/10/07,
-112.264962475768243,33.478733255307233,2007/11/02,0,,,3704879,382534,Q-16,2004/10/25,
-112.250027706236907,33.784243424910692,2007/10/23,0,,,3738737,384332,Q-7,2002/06/02,
-112.182052366409948,33.42196896374638,2007/11/02,0,,,3698494,390166,S-17,2004/10/25,
-112.133374753714193,33.64814002930617,2007/10/22,0,,,3723521,394966,T-11,2002/07/15,
-112.078296394668229,33.627242444854637,2007/10/22,0,,,3721149,400050,U-12,2002/06/02,
-112.05456484439172,33.552205384792018,2007/10/22,0,,,3712807,402166,V-14,2002/06/03,
-112.046875122543426,33.47045682969005,2007/10/22,0,,,3703736,402789,V-16,2002/06/03,
-111.992469914084552,33.523850004679197,2007/10/29,0,,,3709606,407901,W-15,2002/06/03,
-112.000335467346446,33.444459945725612,2007/10/29,0,,,3700811,407085,W-17,2002/06/03,
-112.010594267946558,33.820425013035504,2007/10/23,0,,,3742506,406539,W-6,2002/06/02,
-111.915146573636505,33.377294727448117,2007/10/29,0,,,3693291,414938,Y-19,2002/06/10,
-112.369063512854154,33.3693829136961,,22,Desert Park,,3692877,372702,ESTREL,1999/06/18,2002/04/22
-112.254054623253921,33.55117570143706,,23,Agricultural,,3712899,383645,ALF91,1999/06/18,2001/11/26
-112.070330684036961,33.598825621170391,,25,Desert Remnant,North Mountain,3717991,400756,NM,1999/06/25,2002/04/15
-111.70029956915721,33.708426078459112,,26,Desert Park,,3729849,435171,MCDOW,1999/06/17,2002/04/15
-111.915134821055375,33.426230914709599,,1,Industrial,"APS Ocotillo Plant, NW corner of McClintock/University , Tempe 85281",3698717,414987,OCOTIL,1998/06/18,2002/04/15
-111.967933959926327,33.356840390735485,,2,Industrial,"Insight, 6820 S. Harl Ave., Tempe 85283",3691068,410007,INSIGH,1998/06/03,2002/04/01
-112.111653652011526,33.658742664833746,,3,Industrial,"Honeywell IAC, Union Hills Dr., Phoenix 85027",3724675,396993,HONEY,1998/06/25,2002/04/22
-111.68804376768982,33.411313531851086,,4,Industrial,"Valley Lutheran Hospital, Baywood Ave., Mesa 85205",3696900,436088,MVLH2,1999/06/17,2002/04/14
-111.867874714617201,33.43465697088758,,5,Agricultural,"Alfalfa field, SE corner of 202/Dobson, Mesa 85201",3699613,419388,ALF202,1998/06/18,2001/09/03
-111.961860676848687,33.302827914549816,,6,Agricultural,"Alfalfa field, E of 56th St./S of Chandler Blvd.,",3685074,410517,ALFCHA,1998/06/11,2001/08/27
-112.238030262644429,33.610991702568889,,7,Agricultural,"Cotton field, NE corner of 83rd Ave./Thunderbird R",3719513,385212,COTPEO,1998/06/25,1999/07/16
-112.004250130261184,33.359338421274664,,10,Desert Park,"South Mountain Park, Pima Canyon area, Phoenix 850",3691377,406630,STHMTN,1998/04/23,2002/02/13
-111.614795158340115,33.471298808666816,,12,Desert Park,"Usery Mountain Park, Mesa 85207",3703508,442938,USERY,1998/04/23,2002/04/14
-111.944670555586768,33.408612643541574,,13,Xeric,"Robert Welcher, 515 W. 19th St., Tempe 85281",3696788,412223,ROBWEL,1998/06/11,2001/11/26
-111.959270344996568,33.327857079309503,,14,Xeric,"Conrad Storad, 1199 W. Jeanine St., Tempe 85284",3687847,410783,CONSTO,1998/06/25,2001/02/12
-112.121587195642576,33.61486772397766,,15,Xeric,"John Nichol, 3002 W. Hearn Rd., Phoenix 85023",3719820,396019,JOHNIC,1998/06/25,2002/04/22
-111.688724182306672,33.365293294563244,,16,Xeric,"Cindy West, 4525 E. Douglass Ave., Higley 85236",3691798,435991,CINWES,1998/06/03,2002/04/14
-111.928658681888777,33.396267655861209,,17,Xeric,"Elizabeth Davidson, 704 E. Erie Dr., Tempe 85282 used to be ELIDAV",3695406,413700,BD,1999/06/04,2001/11/05
-111.933062724396521,33.408584512756953,,18,Mesic,"Nancy Lesko, 323 E. Solana Dr., Tempe 85281 used to be NANLES",3696775,413303,NL,1999/06/10,2002/04/01
-111.946111080831969,33.41113357481148,,19,Mesic,"Brooke McDowell, 550 W. 17th St., Tempe, 85281 used to be BROMCD",3697069,412092,BM,1999/06/10,2001/08/27
-111.723149286644087,33.437138632600799,,20,Mesic,"Don Wells, 5010 E. Fairbrook, Mesa, 85207 used to be DONWEL",3699785,432844,MW,1999/06/16,2001/08/07
-112.207862007252572,33.655552805788247,,21,Mesic,"Nancy & Ralph Rothenberg, 18878 N. 69th Ave., Glendale used to be RALROT",3724421,388069,ROTHE,1999/06/18,2002/04/22
-111.723830114628498,33.334972541226833,,27,Agriculture,Ag field south west corner of Higley and Warner,3688459,432702,MORR-2,2002/06/25,2004/07/22
-111.687490064586967,33.410978349503637,,28,Industrial,"Valley Lutheran Hospital, Baywood Ave., Mesa 85205",3696863,436139,VALLUT,1998/06/03,1999/04/09
-112.01503281279038,33.334346985904276,,29,Desert Remnant,South Mountain park. Location only approximated. Warpaint and Knox,3688615,405600,SM2,1999/02/15,2002/04/01
-112.428709461105001,33.493004939285775,2000/10/27,0,Agriculture,"Duncan Family Farms (no spatial data for traps, this point is from ADP)",3706659,367341,DUNCAN,2005/01/24,2005/08/27
