display_name,authority,authority_id,rank,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,form,processing_timestamp,match_status
Abutiloneus,ITIS,719791,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,NA,NA,Abutiloneus,NA,NA,NA,NA,NA,2025-11-16T23:23:44Z,success
Acanthoscelides,ITIS,114505,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,NA,NA,Acanthoscelides,NA,NA,NA,NA,NA,2025-11-16T23:32:58Z,success
Acari,ITIS,733321,Subclass,NA,NA,NA,NA,NA,NA,NA,NA,Acari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:23:45Z,success
Acariformes,ITIS,690740,Superorder,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Chelicerata,NA,Arachnida,NA,NA,Acariformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:32:15Z,success
Acholla,ITIS,107301,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Heteroptera,Cimicomorpha,Reduvoidea,Reduviidae,Harpactorinae,Harpactorini,NA,Acholla,NA,NA,NA,NA,NA,2025-11-16T23:23:47Z,success
Aconobius,GBIF,4760259,Genus,Animalia,NA,NA,NA,Arthropoda,NA,NA,Insecta,NA,NA,NA,Coleoptera,NA,NA,NA,Tenebrionidae,NA,NA,NA,Aconobius,NA,NA,NA,NA,NA,2025-11-16T23:23:48Z,success
Acrididae,ITIS,102195,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Polyneoptera,Orthoptera,Caelifera,Acrididea,Acridoidea,Acrididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:23:49Z,success
Aeolothripidae,ITIS,103350,Family,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Thysanoptera,Terebrantia,NA,NA,Aeolothripidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16T23:23:50Z,success
Aeolus,ITIS,186600,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,NA,NA,NA,Aeolus,NA,NA,NA,NA,NA,2025-11-16T23:23:49Z,success
Agallia,ITIS,199997,Genus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,NA,Insecta,Pterygota,Neoptera,Acercaria,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,NA,NA,NA,Agallia,NA,NA,NA,NA,NA,2025-11-16T23:32:22Z,success
