attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
site_code,,,,survey location identifier,survey location identifier,character,,
location,,,,street address or general description of sampling location,street address or general description of sampling location,character,,
lat,,degree,real,,latitude of sampling location (approximately as the center of the trap line or configuration),numeric,,
long,,degree,real,,longitude of sampling location (approximately as the center of the trap line or configuration),numeric,,
gps_date,YYYY-MM-DD,,,,date gps position of sampling location was recorded,Date,,
start_date,YYYY-MM-DD,,,,date of first sampling at the location,Date,,
end_date,YYYY-MM-DD,,,,date of final sampling or date of decision to cease sampling at the location,Date,,
num_traps,,number,real,,number of traps installed at the sampling location,numeric,,
trap_arrange,,,,"general description of arrangement of the traps, especially if the arrangement was something other than a line","general description of arrangement of the traps, especially if the arrangement was something other than a line",character,,
comments,,,,general comments regarding the sampling location,general comments regarding the sampling location,character,,
