thesaurus,keyword,type
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,arthropods,theme
LTER controlled vocabulary,insects,theme
LTER controlled vocabulary,invertebrates,theme
LTER controlled vocabulary,pitfall traps,theme
LTER controlled vocabulary,long term monitoring,theme
LTER controlled vocabulary,conservation,theme
LTER controlled vocabulary,community composition,theme
LTER core areas,disturbance patterns,theme
LTER core areas,populations studies,theme
LTER core areas,land use and land cover change,theme
LTER core areas,adapting to city life,theme
Creator Defined Keyword Set,sonoran desert,place
Creator Defined Keyword Set,residential yards,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
